2025-03-28 23:06:47,894 - INFO - Current script path: d:\Projects\RL_course\homework1\train.py
2025-03-28 23:06:47,894 - INFO - Starting training with config: {'env': {'name': 'Pendulum', 'm': 0.055, 'g': 9.81, 'l': 0.042, 'J': 0.000191, 'b': 3e-06, 'K': 0.0536, 'R': 9.5, 'max_voltage': 3, 'max_speed': 47.12388980384689, 'Ts': 0.005, 'max_steps': 500, 'initial_act_interval': 20, 'act_interval_decay': 0.98, 'final_act_interval': 1}, 'agent': {'name': 'DQN', 'gamma': 0.98, 'epsilon': 0.9, 'epsilon_decay': 0.9, 'epsilon_decay_steps': 1, 'epsilon_min': 0.0001, 'learning_rate': 0.001, 'learning_rate_decay': 0.95, 'learning_rate_decay_steps': 10, 'learning_rate_min': 5e-06, 'input_dim': 2, 'output_dim': 3, 'hidden_dims': [128, 128], 'target_update_interval': 20, 'device': 'cuda', 'actions': [-3, 0, 3]}, 'training': {'seed': 1, 'num_episodes': 200, 'batch_size': 4096, 'min_buffer_size': 10240, 'buffer_size': 102400, 'train_interval_steps': 10, 'save_interval': 50, 'log_interval': 1, 'checkpoint_path': './checkpoints', 'log_path': './logs'}}
2025-03-28 23:06:48,620 - INFO - Checkpoint save path: D:\Projects\RL_course\homework1\checkpoints\Pendulum_DQN_20250328_230648
2025-03-28 23:06:48,620 - INFO - Training started.
2025-03-28 23:07:22,239 - INFO - Episode 113/200: Total Reward: 102.4060, Avg Loss: 0.0214, Epsilon: 0.0001, Lr: 0.000569, Act Interval: 2
2025-03-28 23:07:22,715 - INFO - Episode 114/200: Total Reward: 103.1387, Avg Loss: 0.0190, Epsilon: 0.0001, Lr: 0.000569, Act Interval: 2
2025-03-28 23:07:23,230 - INFO - Episode 115/200: Total Reward: 102.8909, Avg Loss: 0.0213, Epsilon: 0.0001, Lr: 0.000569, Act Interval: 2
2025-03-28 23:07:23,690 - INFO - Episode 116/200: Total Reward: 102.9994, Avg Loss: 0.0219, Epsilon: 0.0001, Lr: 0.000569, Act Interval: 2
2025-03-28 23:07:24,197 - INFO - Episode 117/200: Total Reward: 102.5242, Avg Loss: 0.0207, Epsilon: 0.0001, Lr: 0.000569, Act Interval: 2
2025-03-28 23:07:24,659 - INFO - Episode 118/200: Total Reward: 103.4099, Avg Loss: 0.0214, Epsilon: 0.0001, Lr: 0.000569, Act Interval: 2
2025-03-28 23:07:25,136 - INFO - Episode 119/200: Total Reward: 103.7131, Avg Loss: 0.0224, Epsilon: 0.0001, Lr: 0.000569, Act Interval: 2
2025-03-28 23:07:25,649 - INFO - Episode 120/200: Total Reward: 103.6002, Avg Loss: 0.0223, Epsilon: 0.0001, Lr: 0.000569, Act Interval: 2
2025-03-28 23:07:26,101 - INFO - Episode 121/200: Total Reward: 93.6845, Avg Loss: 0.0210, Epsilon: 0.0001, Lr: 0.000540, Act Interval: 2
2025-03-28 23:07:26,589 - INFO - Episode 122/200: Total Reward: 79.7777, Avg Loss: 0.0214, Epsilon: 0.0001, Lr: 0.000540, Act Interval: 2
